artistName,tag1,tag2,tag3
Genesis,Progressive rock,classic rock,rock
Dj Worldwide,
Luke Evans,queer,Soundtrack,musical
Zendium,sleep aid,ambient,noise
The 502s,indie,folk,indie rock
Musica Para Dormir,ambient,cuna
Animation Soundtrack Ensemble,in love- Jeff and Beanie,spotify
Sam Fender,indie rock,rock,indie
Nothing But Thieves,alternative rock,rock,indie rock
Rolling,classic rock,rock,british
Urban Love,Bossa Nova,lounge,House
Vegedream,hip hop,france,rnb
Alex Ubago,spanish,pop,latin
TYRS,
Camila,pop,latin,spanish
The Beatles,classic rock,rock,british
El Guachoon,cumbia,argentina,cumbia argentina
Mc Caco,latin,argentina,cumbia argentina
Love Unlimited,soul,female vocalists,70s
Rachel Bay Jones,Musical theatre,folk,bluegrass
Bronco,cumbia,mexico,BRONCO
Tomorrow's Fate,
El Parcerito,
Los Animalitos,indie argentino
Ñejo,Reggaeton,All,latin
Luis Alberto Spinetta,Rock Argentino,rock,argentina
Kygo,electronic,House,tropical house
Johnny Roxx,switzerland,dancehall
Chicago,classic rock,rock,70s
Hysteria,death metal,Brutal Death Metal,post-punk
Bizarrap,argentina,rap,trap
Joy Division,post-punk,new wave,80s
Abraham Mateo,pop,male vocalist,spanish
Lisa,j-pop,japanese,female vocalists
Geoff Hoyle,england
Una Noche en Bogotá,
Volován,indie,rock,Rock en Espanol
Maia Mitchell,australia,pop,female vocalists
Inmigrantes,indie,rock,argentina
Divididos,Rock Argentino,rock,argentina
HTHAZE,rnb,pop,nie
MOGUAI,Progressive House,electro house,House
Carpenters,pop,70s,female vocalists
Magia Blanca,
TV On The Radio,indie,experimental,indie rock
Adam Mitchell,
João Donato,Bossa Nova,jazz,brazilian
Rubén Trujillo,
Silent Waves,
John Frusciante,experimental,alternative,singer-songwriter
Cream,classic rock,blues rock,rock
Neil Diamond,singer-songwriter,classic rock,soft rock
Camilo,pop,latin,latino
Cat Janice,pop,indie,indie pop
Slightest Clue,alternative rock,alt-rock,indie rock
Stray Cats,rockabilly,psychobilly,rock n roll
Lisandro Aristimuño,folk,singer-songwriter,argentina
Precious Jewel Amor,acoustic,folk,female vocalist
Paula Sergio,brasil,Bossa Nova
Rusted Root,alternative,Jam,rock
Empire Of The Sun,electronic,synthpop,australian
Gilberto Gil,mpb,brazilian,tropicalia
Divinyls,new wave,australian,80s
Mora,latin,puerto rico,noise
omgkirby,daycore,lofi,funk_add_to_lidarr_batch_30
Aquagirl,
Tibeauthetraveler,electronic,Lo-Fi,Belgium
Homebody,pop,alternative,Colorado
Trepsi,spanish,childrens
Yerba Buena,latin,Hip-Hop,salsa
CityAlight,anthem worship,australian,roots worship
Nabález,
Passenger,folk,alternative metal,Melodic Death Metal
Coti,pop,spanish,latin pop
Carlos Baute,latin,pop,venezuelan
Para Siempre,shoegaze,low fi,garage
Clarke Thorell,musical,american,Broadway
Mysha Didi,maldives,covers,female vocalists
Supermerk2,Cumbia villera,cumbia,latin
Tainy,Reggaeton,latin,puerto rico
Letters to Lions,indie,rock,indie rock
Adriana Caselotti,Disney,Soundtrack,Snow White
Cast - Liv and Maddie,pop,Soundtrack,Dove Cameron
