endTime,artistName,trackName,msPlayed
2025-03-29 04:15,The Kooks,Junk Of The Heart (Happy),187252
2025-03-29 04:18,The Kooks,Always Where I Need To Be,161720
2025-03-29 04:21,The Kooks,Jackie Big Tits,152586
2025-03-29 04:24,The Kooks,Watching The Ships Roll In,201160
2025-03-29 04:27,The Kooks,Mr. Maker,180880
2025-03-29 04:30,The Kooks,Bad Habit,221413
2025-03-29 04:33,The Kooks,Constantine's Love - Studio Demo,158880
2025-03-29 04:35,The Kooks,Seaside,99226
2025-03-29 04:38,The Kooks,See The Sun,216426
2025-03-29 04:40,The Kooks,Sofa Song,133253
2025-03-29 05:17,The Kooks,She Moves In Her Own Way,169306
2025-03-29 05:19,The Kooks,Nothing Ever Changes,135253
2025-03-29 05:23,The Kooks,Pumped Up Kicks - BBC Live Version,202283
2025-03-29 05:26,The Kooks,Cold Heart - Single Edit,210893
2025-03-29 05:34,filous,Hey Love,228916
2025-03-29 05:37,The Kooks,Naive,203506
2025-03-29 05:49,The Kooks,Taking Pictures Of You,65921
2025-03-30 15:51,The Kooks,Taking Pictures Of You,97031
2025-03-30 15:55,The Kooks,Closer,220933
2025-03-30 15:59,The Kooks,25,223893
2025-03-30 16:01,The Kooks,Stole Away - Demo,173355
2025-03-30 16:06,The Kooks,Sweet Emotion,308569
2025-03-30 16:11,The Kooks,Around Town,250692
2025-03-30 16:15,The Kooks,Gap,239960
2025-03-30 16:16,The Kooks,Inaudible Melodies - Acoustic Version,80573
2025-03-30 16:19,The Kooks,How'd You Like That,194908
2025-03-30 16:22,The Kooks,Four Leaf Clover,203081
2025-03-30 16:25,The Kooks,See Me Now,181026
2025-03-30 16:28,The Kooks,Melody Maker,144593
2025-03-30 16:31,The Kooks,Pamela,184699
2025-03-30 16:34,The Kooks,So Good Looking,203285
2025-03-30 16:38,The Kooks,Connection,225733
2025-03-30 16:42,The Kooks,Be Who You Are,234693
2025-03-30 16:44,The Kooks,Jesse James,173973
2025-03-30 16:47,The Kooks,Beautiful World,183586
2025-03-30 16:51,The Kooks,Forgive & Forget,237248
2025-03-30 16:55,The Kooks,Sway,216880
2025-03-30 16:58,The Kooks,Ooh La,208973
2025-03-30 17:02,The Kooks,Chicken Bone,225001
2025-03-30 17:05,The Kooks,Killing Me,205026
2025-03-30 17:09,The Kooks,No Pressure,216617
2025-03-30 17:12,The Kooks,Is It Me,210453
2025-03-30 17:14,The Kooks,Oasis,113426
2025-03-30 17:18,The Kooks,All the Time,246736
2025-03-30 17:21,The Kooks,Never Know,175120
2025-03-30 17:24,The Kooks,Westside,210193
2025-03-30 17:27,The Kooks,Jeanie,161632
2025-03-30 17:30,The Kooks,Shine On,194240
2025-03-30 17:34,The Kooks,Sunny Baby,199040
2025-03-30 17:37,The Kooks,Rosie,190960
